zipcode,sex,age,street_name,unit,marital_status,education_level,bachelors_field,ethnic_background,occupation,last_name,first_name,middle_name,street_number,city,state,country,county,uuid
13088,Male,57,166 St,,married_present,bachelors,business,white,police_officer,Collantes,Thomas,Paul,198,Liverpool,NY,USA,Onondaga County,cad2f5fc-a429-42b6-bb4d-d305c8013344
6416,Male,44,Acre Hill Road,,never_married,associates,no_degree,white,police_officer,Adams,Brant,Alan,81,Cromwell,CT,USA,Middlesex County,903249bb-dd52-42a9-bcf4-a98782feeee1
49601,Female,54,Cr 58,,married_present,high_school,no_degree,white,police_officer,Gillam,Lindsay,Lynn,169,Cadillac,MI,USA,Lake County,706d7263-6b3d-4444-9898-c62c7b6a2bb3
94621,Male,64,N Santa Cecilia St,,never_married,high_school,no_degree,salvadoran,police_officer,Zaragoza,Marcus,Eloy,78,Oakland,CA,USA,Alameda County,96677f7d-9cfa-4748-ac79-c83c0308f293
19947,Male,33,South Street,,married_present,9th_12th_no_diploma,no_degree,guatemalan,police_officer,Williams,Miguel,,127,Georgetown,DE,USA,Sussex County,503d36a3-3bb2-4994-9eac-c0c22c0b5f1b
62930,Male,40,North County Road 350 West,,never_married,bachelors,education,white,police_officer,Head,James,Frederick,668,Eldorado,IL,USA,Gallatin County,8249d6f1-6a6d-42c4-93ff-ff27d692dbcc
83318,Male,34,Mountain Dr,,never_married,bachelors,business,white,police_officer,Bartelson,Donald,Lassen,26,Burley,ID,USA,Minidoka County,88d60c53-60c8-426d-b1ec-e2dfac468c6f
32424,Male,29,Grand Prix Dr,,never_married,high_school,no_degree,white,police_officer,Rasmussen,Jorge,Douglas,137,Blountstown,FL,USA,Calhoun County,97297d63-50d3-40a7-8864-01812c0796ad
67063,Male,21,470th St,,never_married,some_college,no_degree,white,police_officer,Lucania,Jon,Hebert,77,Hillsboro,KS,USA,Marion County,258833c6-ae60-4f62-8cba-fde0f2f844f6
11967,Male,70,Triadelphia Rd,,married_present,high_school,no_degree,black,police_officer,Richardson,Nijal,Bernard,121,Shirley,NY,USA,Suffolk County,42cd9313-fe6f-46c0-ab2e-468420ae29f3
8512,Male,46,Foster Ave,Unit D,married_present,bachelors,business,white,police_officer,Somaru,Charles,M,20,Cranbury,NJ,USA,Middlesex County,a8ea908a-d606-492c-9189-11b66b9310f4
30093,Female,33,Fairfield Avenue,,married_present,graduate,arts_humanities,black,police_officer,Suber,Marcella,E,239,Norcross,GA,USA,DeKalb County,bced0aa3-6e02-471c-858c-0b86c04b7f18
52241,Male,38,E Churchill Ct,,never_married,some_college,no_degree,white,police_officer,Gronefeld,Edward,J,274,Coralville,IA,USA,Johnson County,c195632d-95b5-48b8-9072-f83cce346870
926,Male,62,Astros,Nevado,married_present,associates,no_degree,puerto rican,police_officer,Gonzalez,Jose,Benjamin,274,San Juan,PR,USA,Bayamon Municipio,49b8c5f0-df60-437d-821e-22652ff52087
77004,Male,22,S Harlan Ln,,never_married,some_college,no_degree,east asian,police_officer,Song,Woo,Ho,400,Houston,TX,USA,Harris County,8c0860db-f6a5-4122-a216-268220583e14
54856,Male,43,SR 81,,married_present,high_school,no_degree,white,police_officer,Steele,Clay,Robert,17,Mason,WI,USA,Bayfield County,4ef396e2-5d8e-4ff3-945b-a91e390d42c7
46544,Male,32,W Doty Street,,married_present,bachelors,arts_humanities,white,police_officer,Shaw,Benjamin,B,28,Mishawaka,IN,USA,St. Joseph County,72b7e60c-4c6f-4891-bc25-269df6f9ca42
50014,Male,20,Ellis Blvd,,never_married,some_college,no_degree,white,police_officer,Glass,Christopher,,93,Ames,IA,USA,Boone County,b1acf2b1-7bfc-4f29-9c07-b46331c586c7
22031,Male,50,Highway 456,124,divorced,bachelors,business,puerto rican,police_officer,Gomez,Jose,David,56,Fairfax,VA,USA,Fairfax County,6fffeca8-c554-44c7-9b29-091c3c8bddef
11210,Female,45,Middleborough Rd,,never_married,some_college,no_degree,east asian,police_officer,Le,Myong,,200,Brooklyn,NY,USA,Kings County,21470603-e016-4722-9804-f83762d0339c
91202,Male,28,San Anselmo Ave,,never_married,bachelors,arts_humanities,east asian,police_officer,Suh,Li,,228,Glendale,CA,USA,Los Angeles County,0ec75b7d-514c-4c64-85e9-10e0038c005b
32309,Male,61,Valencia Dr,,married_present,bachelors,education,white,police_officer,Ata,Roark,Douglas,61,Tallahassee,FL,USA,Leon County,2f392479-aa80-4f5a-99da-5b824908e13f
48506,Male,23,North Elston Avenue,,never_married,high_school,no_degree,white,police_officer,Longanecker,Alexander,William,24,Flint,MI,USA,Genesee County,a1acaa9d-d980-4466-8cdb-2473072466e7
72749,Male,27,Boydton Plank Rd,Unit 8,married_present,some_college,no_degree,white,police_officer,Caughron,David,George,285,Morrow,AR,USA,Washington County,d11a7358-5835-4788-8fd2-f88ca98b919f
29040,Male,28,Chestatee Landing Dr,C,married_present,high_school,no_degree,white,police_officer,Schultz,Lawrence,M,84,Dalzell,SC,USA,Sumter County,f645a65d-9632-4e52-925d-1d256c6716b1
24540,Male,74,Somerset Village,,married_present,high_school,no_degree,white,police_officer,Blackburn,Thomas,Lee,176,Danville,VA,USA,Pittsylvania County,3403af20-1253-4f0c-a25e-a776eb431eee
27834,Female,22,Jeffries St,,never_married,some_college,no_degree,black,police_officer,Cooper,Gloria,,720,Greenville,NC,USA,Pitt County,5e308a11-f29f-45dc-8757-606155bc85c3
10461,Male,29,North Church Street,,never_married,graduate,business,black,police_officer,Campbell,Donald,Jermaine,21,Bronx,NY,USA,Bronx County,89a2ad57-7662-4e72-96a1-5fd025bfcb07
92592,Male,62,Malaga Ave,,married_present,bachelors,business,white,police_officer,Rogers,John,Rodney,221,Temecula,CA,USA,San Diego County,269381ea-97a0-41b8-b2bf-9ff35144c118
37172,Male,51,Galway Drive,312,married_present,9th_12th_no_diploma,no_degree,mexican,police_officer,Soler,Juan,,836,Springfield,TN,USA,Robertson County,d0ad02a6-0fec-4b65-b7f3-9b0aac68eead
93065,Female,68,Opal St,,married_present,associates,no_degree,white,police_officer,Phillips,Kristine,Faith,114,Simi Valley,CA,USA,Ventura County,96db1d7b-365c-4abc-bdbb-9ed93c05e4e1
32210,Male,62,Garmisch Way,,divorced,high_school,no_degree,black,police_officer,Anderson,Ronald,Rashaad,711,Jacksonville,FL,USA,Duval County,3f91f715-e9fb-4aa8-a924-7639314b93d5
89183,Male,49,W Seefeld Ct,,married_present,bachelors,arts_humanities,white,police_officer,Young,Daniel,Richard,575,Las Vegas,NV,USA,Clark County,a24c067c-0315-4c80-8bd6-40d0c5300ec9
14221,Female,41,Hillside St,,married_present,bachelors,stem_related,white,police_officer,Hagedorn,Eleanor,Ann,156,Buffalo,NY,USA,Erie County,a32089a1-1740-417b-87f2-266d3db53b61
66762,Male,39,Bradford Ct,,divorced,high_school,no_degree,white,police_officer,Frankenberger,William,Childers,196,Pittsburg,KS,USA,Cherokee County,ad2688ed-76cd-4323-9872-17f1e82ea5c2
36732,Male,56,Ridge Line Road,,widowed,high_school,no_degree,white,police_officer,Penny,Scott,Wayne,235,Demopolis,AL,USA,Marengo County,ea82210c-4003-4f30-874d-9c9bdb668976
27527,Male,37,Villa Lane,,married_present,high_school,no_degree,black,police_officer,Marbury,Jesse,M,4,Clayton,NC,USA,Johnston County,87e8c4ee-b2c6-4f91-9655-620eb64769bd
94578,Male,57,Rancho Capistrano Bend,,married_present,some_college,no_degree,white,police_officer,Steere,Ronald,Egan,62,San Leandro,CA,USA,Alameda County,4d4f18ef-2f6c-46ce-adda-aa4be037dcb2
32817,Male,31,Oxbridge Dr,,married_present,some_college,no_degree,mexican,police_officer,Nunez,Jorge,Carl,249,Orlando,FL,USA,Orange County,c0179701-3af4-4518-b793-89483f7f7fb7
85706,Male,61,County Road 4830,,married_present,some_college,no_degree,mexican,police_officer,Escobar,Carlos,,139,Tucson,AZ,USA,Pima County,a5dfdae8-9f2d-4fbe-8fc2-18c51517c4f2
85083,Male,19,Happy Trl,,never_married,high_school,no_degree,white,police_officer,Mathis,Ian,Aw,62,Phoenix,AZ,USA,Maricopa County,05432bf7-12d2-49da-baca-6b4f7d1a1f73
36542,Male,43,Skyview Lane,,married_present,some_college,no_degree,white,police_officer,Saffles,Sean,Nikitas,253,Gulf Shores,AL,USA,Baldwin County,c1ccb089-5cf1-4146-933a-4f615de4d15e
33603,Male,61,SW San Antonio Ave,,married_present,bachelors,arts_humanities,east asian,police_officer,Lee,Chih,Xuan,81,Tampa,FL,USA,Hillsborough County,ebad23bd-6377-4193-bc81-55196f36648d
60403,Male,47,Chatsworth Dr,,married_present,bachelors,arts_humanities,white,police_officer,Adams,Hayden,L,294,Crest Hill,IL,USA,Will County,f18434c0-3617-449c-8380-b4892e24c415
74006,Male,36,9th St,,married_present,high_school,no_degree,white,police_officer,Feltner,Scott,Murphy,353,Bartlesville,OK,USA,Nowata County,c64fea15-eafa-41b7-bf93-5138641d58fd
97306,Male,22,Southwest 117th Avenue,,divorced,high_school,no_degree,white,police_officer,Clark,Bradford,M,156,Salem,OR,USA,Marion County,4046f778-1350-427b-bb13-96c36f56ca2f
92071,Male,32,W Statler St,02,never_married,high_school,no_degree,white,police_officer,Meek,William,Julian,6,Santee,CA,USA,San Diego County,81189515-5950-4eb2-8ac5-ba32150f21fe
38237,Male,23,West Kings Highway,,never_married,9th_12th_no_diploma,no_degree,white,police_officer,Marlette,Ryan,Robert,6,Martin,TN,USA,Obion County,49dcf2b2-556d-4714-857d-f32eebcee698
62703,Female,27,South Regis Road,,never_married,high_school,no_degree,white,police_officer,Adams,Melinda,E,590,Springfield,IL,USA,Sangamon County,4fa7f005-b875-4008-8f81-17e7b15b1c30
27009,Male,59,Seafarer Lane,,married_present,high_school,no_degree,american indian,police_officer,Patel,James,Ryan,44,Belews Creek,NC,USA,Forsyth County,0f5f8766-bdf1-45d2-8029-3e9da6700a99
28479,Male,20,Pipers Gap Dr,,never_married,associates,no_degree,white,police_officer,Waite,Remington,Brian,241,Winnabow,NC,USA,Brunswick County,dcfb13c7-eb2a-47bb-a12d-c7bba9ce03d3
90602,Male,40,Haggin Ave,,never_married,less_than_9th,no_degree,guatemalan,police_officer,Alvarez,Christian,Andres,170,Whittier,CA,USA,Los Angeles County,f5b49bab-7173-473f-97a5-92ac403f7bf5
83646,Male,26,Longford Way,,never_married,some_college,no_degree,white,police_officer,Cifuentes,Stephen,Vernon,16,Meridian,ID,USA,Ada County,82f78a96-50f6-4211-9e2c-b3adb89d94cd
3820,Male,45,Lewis Rd,,divorced,graduate,stem_related,white,police_officer,Carter,Jason,Christopher,15,Dover,NH,USA,Strafford County,140b920f-ae0b-45aa-8db4-fd1d2a3ea64a
95762,Male,49,Robley Road,,married_present,bachelors,stem,black,police_officer,Boyd,Timothy,,56,El Dorado Hills,CA,USA,El Dorado County,2c371cc3-1a6a-4065-b6e4-423887dd2519
43229,Male,40,Windwood Pky,,never_married,less_than_9th,no_degree,black,police_officer,Franklin,Bobby,Calloway,135,Columbus,OH,USA,Franklin County,e6582c7a-15bd-4b93-a9f3-968e378034d9
8901,Male,49,Anchor Court,,married_present,less_than_9th,no_degree,south asian,police_officer,Zaman,Deochand,Aziz,156,New Brunswick,NJ,USA,Middlesex County,7ca3f44c-f587-4d62-8dd3-1f042bda80e0
78613,Male,33,Juliff Manvel Rd,,widowed,some_college,no_degree,white,police_officer,Klein,Timothy,Robert,229,Cedar Park,TX,USA,Williamson County,f352f0f4-6292-4d50-8bb6-06187d5def21
32807,Male,29,SW 26th Pl,,never_married,high_school,no_degree,black,police_officer,Fortson,Adrianna,Jose,635,Orlando,FL,USA,Orange County,5cad83fd-74ed-4d00-8221-4e7782cb4291
33837,Male,34,NW 34th Blvd,Unit A3,married_present,bachelors,arts_humanities,puerto rican,police_officer,Toro,Ronald,,257,Davenport,FL,USA,Polk County,d49795d0-7553-44e0-b318-e2250c44432a
30043,Male,21,Buckthorn Ln,,never_married,some_college,no_degree,white,police_officer,Cross,Brendon,Bell,67,Lawrenceville,GA,USA,Gwinnett County,dcb27ab3-f8b7-48d5-aee6-a0c2f62ff845
62948,Male,29,North Campbell Avenue,,married_present,some_college,no_degree,white,police_officer,Smith,Bryan,Matthew,219,Herrin,IL,USA,Williamson County,5ce23489-e411-4482-8908-9e1b6458c404
22553,Male,37,Buxton St,,divorced,associates,no_degree,white,police_officer,Rich,Robert,Michael,35,Spotsylvania,VA,USA,Spotsylvania County,b453c2ce-e9d4-485c-8e66-f530c2693896
31525,Female,21,Atherton Way,,never_married,some_college,no_degree,white,police_officer,Childers,Peggy,Kate,249,Brunswick,GA,USA,Glynn County,c7fd35f4-8cb1-4be4-b0d4-8fa66da787fb
32907,Male,56,NW 79 Ln,,married_present,high_school,no_degree,black,police_officer,Braswell,Fowler,Newman,40,Palm Bay,FL,USA,Brevard County,de95c9e0-aa09-4038-9e80-3fa9a4d72eaf
49006,Male,21,Santa Barbara,,never_married,high_school,no_degree,black,police_officer,Antoine,James,,276,Kalamazoo,MI,USA,Kalamazoo County,6686a898-a439-4968-8c7c-6c686cdc43e0
18702,Male,44,Oakmont Lane,,never_married,some_college,no_degree,white,police_officer,Snyder,James,B,64,Wilkes Barre,PA,USA,Luzerne County,94ad0fbd-c4d9-4478-b28a-853176311571
47862,Female,37,Harrington Ave,,married_present,associates,no_degree,white,police_officer,Muirheid,Elizabeth,Marie,184,Montezuma,IN,USA,Parke County,1cf426ac-fe00-4c12-a173-456f1e35e141
33805,Female,35,3rd St,,married_present,high_school,no_degree,white,police_officer,Murray,Brenda,Ann,7,Lakeland,FL,USA,Polk County,dcef74eb-8c81-47e1-a838-88a331ca21fc
75024,Male,23,Don Drive,,never_married,some_college,no_degree,east asian,police_officer,Tan,Kien,Daesung,83,Plano,TX,USA,Collin County,b1c2b71d-194f-4543-a15f-c4a37f54706b
43302,Male,41,Rd 1023,,divorced,associates,no_degree,white,police_officer,Owensby,Kenneth,Forbes,6,Marion,OH,USA,Crawford County,6b4d369a-181f-4b81-9639-31af1127e609
39194,Male,40,Fort Macon,,separated,less_than_9th,no_degree,white,police_officer,Hill,Eric,Earl,191,Yazoo City,MS,USA,Yazoo County,de9242e2-2362-4af9-aa53-2869bf5fb65e
19711,Male,43,S 12th St,,married_present,9th_12th_no_diploma,no_degree,white,police_officer,Thomas,Robert,Howard,190,Newark,DE,USA,New Castle County,6d149862-56af-4cf6-a05e-7fb35217f320
98580,Female,55,46th Ln SE,,separated,high_school,no_degree,white,police_officer,Webb,Amanda,Irene,147,Roy,WA,USA,Pierce County,8637ca60-3e5d-4ee9-9924-5038965d9b1c
73013,Male,26,E 109th St N,,married_present,bachelors,arts_humanities,white,police_officer,Gillette,Jacob,Andrew,22,Edmond,OK,USA,Oklahoma County,d3250ef2-f102-4124-9d8e-3c4e3044f200
66216,Male,68,Green St,,married_present,high_school,no_degree,white,police_officer,Murphy,Steven,Hewitt,728,Shawnee,KS,USA,Wyandotte County,93794468-7c43-4d4d-8df3-486892e96593
85295,Female,48,Dryden Ln,,married_present,graduate,arts_humanities,black,police_officer,Weeks,Sharon,A,187,Gilbert,AZ,USA,Maricopa County,2a598268-ff6e-4ef4-806d-d8e0110d9f98
21014,Male,39,Wagner Avenue,,never_married,bachelors,arts_humanities,southeast asian,police_officer,Phan,Hadil,Truc,155,Bel Air,MD,USA,Harford County,a7d45ec4-0585-4565-9702-32d878963cef
61244,Male,63,Riverside Road,,married_present,high_school,no_degree,white,police_officer,Manis,Randall,Lou,153,East Moline,IL,USA,Rock Island County,b2f7c8fb-9440-439d-a4a0-389aabfdcec5
11213,Male,22,Pine Brook Drive,,never_married,some_college,no_degree,white,police_officer,Scrivner,Jeff,Aaron,372,Brooklyn,NY,USA,Kings County,9ab11223-36c1-4d05-bf60-e08db869e661
77036,Male,29,Timber Ridge Rd,,married_present,less_than_9th,no_degree,white,police_officer,Lewis,Matthew,Jacob,251,Houston,TX,USA,Harris County,9275b9bc-8f1b-4382-917b-a52820aa7b45
87124,Male,20,Sunset Rd SW,,never_married,high_school,no_degree,black,police_officer,Perry,Larry,,319,Rio Rancho,NM,USA,Sandoval County,bc4d90eb-cd7c-476c-9062-dcf01de5e819
19008,Male,62,Plymouth Road,,married_present,9th_12th_no_diploma,no_degree,white,police_officer,Mcquillen,James,Eugene,11,Broomall,PA,USA,Delaware County,a01f5c25-49bd-4e12-90d8-498c64e1b84c
28570,Male,72,Winfield St,,married_present,some_college,no_degree,white,police_officer,Mcghinnis,Thomas,Wayne,181,Newport,NC,USA,Carteret County,ab18f6e6-f11c-420e-a1cf-8d10aeca7aa4
64862,Female,47,US 77 Hwy Bypass,D,married_present,high_school,no_degree,white,police_officer,Thompson,Frances,A,94,Sarcoxie,MO,USA,Newton County,68f9272f-8817-46f0-867b-e8b829f8b3cb
89433,Male,52,Bear Springs Cir,,widowed,less_than_9th,no_degree,white,police_officer,Olmos,Jerid,,132,Sun Valley,NV,USA,Washoe County,620cbb85-7aef-41b6-bf6f-4802b3407e3f
75979,Male,55,County Road 115,,divorced,high_school,no_degree,white,police_officer,Abbott,Donald,Wayne,117,Woodville,TX,USA,Tyler County,023aed03-74e5-4d94-9cb7-e8666f1bba99
48197,Male,26,Parsons Ave,,never_married,some_college,no_degree,white,police_officer,Trafelet,Gerald,Franklin,44,Ypsilanti,MI,USA,Washtenaw County,10b9e918-73a0-41e6-b35d-07e4b7a04808
19707,Male,32,Deepspring Ct,,married_present,associates,no_degree,black,police_officer,Ford,Thomas,L,3,Hockessin,DE,USA,New Castle County,0c4685f3-f410-45e5-ad30-6f165d790e03
956,Female,41,N Cooper,7 Ne,never_married,bachelors,stem_related,puerto rican,police_officer,Ramirez,Jessica,Flora,109,Bayamon,PR,USA,Catano Municipio,ab804292-01ef-4ddb-bc9b-a2677db6061d
18015,Male,39,Coblestone Drive,Apartment 4G,never_married,bachelors,business,white,police_officer,Richard,William,Willard,90,Bethlehem,PA,USA,Lehigh County,447b1288-9091-4791-9dd9-cb2e6d14dd52
80010,Male,52,Sylvan,,separated,9th_12th_no_diploma,no_degree,mexican,police_officer,Esquilin,Javier,,128,Aurora,CO,USA,Adams County,2510f321-86f1-49d6-9ca3-29aa4838b7eb
19085,Male,20,Statiras Dr,,never_married,some_college,no_degree,white,police_officer,Midkiff,Charles,Atkins,302,Villanova,PA,USA,Montgomery County,671a57a8-ee02-46c6-a22d-3bbc3888a98c
11233,Male,23,E Palmer St,,never_married,high_school,no_degree,black,police_officer,Eppinger,John,Quinton,40,Brooklyn,NY,USA,Kings County,b8d744b6-9ec2-436e-a614-6a0e239d9179
47501,Male,49,Smith Rd,,married_present,bachelors,education,white,police_officer,Tillema,Mark,Carl,307,Washington,IN,USA,Daviess County,20caab1b-4585-4d7a-9210-7951dd2ecc82
84015,Male,48,West Fontanero Street,,never_married,bachelors,business,white,police_officer,Alsaidi,William,Trent,161,Clearfield,UT,USA,Davis County,1e671c96-b05c-4e52-8427-1648065a752c
30044,Male,32,Charlie Cobb Road,,married_present,high_school,no_degree,south asian,police_officer,Ramnarine,Paras,Rajnikant,568,Lawrenceville,GA,USA,Gwinnett County,f1788ebd-c04a-4417-9c26-722fdcfccf22
80016,Male,54,E 1030 S,,married_present,some_college,no_degree,white,police_officer,Lee,Canden,Robert,232,Aurora,CO,USA,Arapahoe County,5c19b446-bd9f-4831-8e2e-4adef61ecc7c
36703,Male,32,Old Murdoch,,never_married,high_school,no_degree,black,police_officer,Laguerre,Jeffro,M,30,Selma,AL,USA,Autauga County,90246b2d-0791-456c-895b-070be0db7482
24370,Male,35,Shoremain Drive,,married_present,bachelors,arts_humanities,white,police_officer,Arnold,William,Logan,582,Saltville,VA,USA,Smyth County,a258824b-1bed-40e3-bb02-de9cc1dbcbc1
77355,Female,37,Lifestyle Communities Drive,,married_present,bachelors,business,mexican,police_officer,Castillo,Adriana,C,90,Magnolia,TX,USA,Waller County,fb8b9aa4-09b5-498e-a5c6-eb00b3170524
85139,Male,32,East 2nd Street,,never_married,some_college,no_degree,mexican,police_officer,Cunha,Yuri,Banderas,146,Maricopa,AZ,USA,Pinal County,e5bbba46-df29-42e8-a214-a0f3ba7eff66
1844,Male,63,Pine Grove Street,,widowed,bachelors,arts_humanities,dominican,police_officer,Hernandez,Herberto,,267,Methuen,MA,USA,Essex County,3627cb45-4dcc-4c45-acf4-ba6bfa1a8bfb
89122,Male,30,S Orchard St,,never_married,high_school,no_degree,white,police_officer,Dorzweiler,Christopher,Michael,301,Las Vegas,NV,USA,Clark County,d71e447b-9712-4875-873a-ac8f0cfa972c
19139,Male,64,Watkins Road,,never_married,bachelors,stem_related,white,police_officer,Thurber,Richard,Victor,253,Philadelphia,PA,USA,Philadelphia County,1a1534b3-a9be-4279-8e69-5ebc071a9028
2301,Male,62,Chestnut Street,,married_present,some_college,no_degree,puerto rican,police_officer,Feliciano,Martin,,176,Brockton,MA,USA,Plymouth County,b1d4bee8-bc52-4571-9714-7ca5e83bf5ad
33155,Male,59,Brandywine Rd,,divorced,high_school,no_degree,white,police_officer,Jones,Darrell,Lee,7,Miami,FL,USA,Miami-Dade County,ac33c13c-77ad-403d-a033-a41906459339
84403,Male,21,E Geddes Ave,,never_married,9th_12th_no_diploma,no_degree,white,police_officer,Keith,John,R,195,Ogden,UT,USA,Weber County,02a29661-ba45-4fe9-88d5-49d65dceca8e
81052,Male,64,Skyview Drive,,married_present,high_school,no_degree,hispanic or latino other,police_officer,Perez,Ricardo,,8,Lamar,CO,USA,Prowers County,8de64f87-047a-47d6-bb96-c58246c47832
97031,Male,62,North Sundown Drive,,married_present,associates,no_degree,white,police_officer,Williamson,Steve,G,155,Hood River,OR,USA,Hood River County,efebdeaa-927c-4e5a-95d4-084f6ed04688
95076,Male,25,Los Arabis Dr,,never_married,some_college,no_degree,white,police_officer,Paul,Charles,,58,Watsonville,CA,USA,Santa Cruz County,c0e90255-819b-4d5f-b2a6-5b1045a28f80
28715,Male,33,Cheraw St,,married_present,some_college,no_degree,white,police_officer,Calloway,Justin,Lewis,193,Candler,NC,USA,Haywood County,9aa50cd8-1b7c-43d4-9682-e59c5ff21f05
95120,Female,48,Starwood Ln,,married_present,bachelors,business,white,police_officer,Criss,Karen,C,11,San Jose,CA,USA,Santa Clara County,8de6f0cd-6172-4e0c-8f2e-5a47b3426741
60453,Male,49,Page Blvd,,divorced,bachelors,stem_related,mexican,police_officer,Velasco,Israel,,263,Oak Lawn,IL,USA,Cook County,d7de72ac-9027-4d16-99e6-a70f67560c80
95961,Male,66,N Hyannis Dr,,widowed,9th_12th_no_diploma,no_degree,mexican,police_officer,Riveradiaz,Efrain,Luis,77,Olivehurst,CA,USA,Yuba County,85f9e2a7-7e4d-4450-86ce-5844a11c5fef
55906,Male,42,Ardis St,,never_married,graduate,arts_humanities,black,police_officer,Shepherd,Herman,Salomon,86,Rochester,MN,USA,Wabasha County,ec80609d-6a0b-43be-a2d9-19d69b483237
75219,Male,33,Starflower Ln,,never_married,some_college,no_degree,white,police_officer,Ferris,David,R,75,Dallas,TX,USA,Dallas County,8c5d4836-25e8-4dd1-a5b6-19842a910b40
47130,Female,35,W Tiffany Ln,,never_married,bachelors,arts_humanities,black,police_officer,Salmon,Tayshia,,5,Jeffersonville,IN,USA,Clark County,2c70dd4c-9bb9-4a97-8af6-eac2c6665720
57069,Male,20,East Hempstead Avenue,,never_married,some_college,no_degree,white,police_officer,Simmons,Jason,Harkey,38,Vermillion,SD,USA,Clay County,b99fbbb7-444f-46d1-8ff1-c49b26dc5425
20186,Male,22,Ashland Dr,,never_married,some_college,no_degree,white,police_officer,Davis,Kody,Snider,211,Warrenton,VA,USA,Culpeper County,d76c6ac7-4a71-45b6-83c2-cc09d3f914b9
5478,Male,37,Myrtle St,,married_present,high_school,no_degree,white,police_officer,Glisson,Robert,Charles,16,Saint Albans,VT,USA,Franklin County,a54c1d25-65ed-41db-b5cb-b830517ede62
99362,Female,56,Southwest Multnomah Boulevard,Apt 111,divorced,graduate,education,mexican,police_officer,Pedroza,Marta,A,160,Walla Walla,WA,USA,Walla Walla County,3a8943fe-d92a-4a7f-b92c-309ee34286cd
92345,Male,29,Settlers Pl,,never_married,high_school,no_degree,white,police_officer,Burton,Luke,,97,Hesperia,CA,USA,San Bernardino County,06caec24-8e08-4807-b24c-23098798ac62
953,Male,55,Almeria Ave,Pablo Pillot Garcia,married_present,high_school,no_degree,puerto rican,police_officer,Aguirre,Miguel,,430,Toa Alta,PR,USA,Toa Alta Municipio,e70d9b0d-6e96-41e9-85c4-469876751aa1
70816,Male,37,Dothan Pl,,married_present,some_college,no_degree,white,police_officer,Blevins,David,Anthony,144,Baton Rouge,LA,USA,East Baton Rouge Parish,925e5545-aa26-47b0-9c13-61f452cb1c7f
